Dog,Sex,Age,FDPhase,OwnerFirst_0.StrangerFirst_1,Order,StressSignals_BOw,StressSignals_BStr,StressSignals_FDOw,StressSignals_FDStr,StressSignals_POw,StressSignals_PStr,InteractionWithOwner_Bow,InteractionWithOwner_BStr,InteractionWithOwner_FDOw,InteractionWithOwner_FDStr,InteractionWithOwner_POw,InteractionWithOwner_PStr,InteractionWithStranger_BOw,InteractionWithStranger_BStr,InteractionWithStranger_FDOw,InteractionWithStranger_FDStr,InteractionWithStranger_POw,InteractionWithStranger_PStr,Vocalizations_BOw,Vocalizations_BStr,Vocalizations_FDOw,Vocalizations_FDStr,Vocalizations_POw,Vocalizations_PStr,ExploreRoom_BOw,ExploreRoom_BStr,ExploreRoom_FDOw,ExploreRoom_FDStr,ExploreRoom_POw,ExploreRoom_PStr,LookAtObject_BOw,LookAtObject_BStr,LookAtObject_FDOw,LookAtObject_FDStr,LookAtObject_POw,LookAtObject_PStr,InteractionWithObject_BOw,InteractionWithObject_BStr,InteractionWithObject_FDOw,InteractionWithObject_FDStr,InteractionWithObject_POw,InteractionWithObject_PStr,Chew_Bow,Chew_BStr,Chew_FDOw,Chew_FDStr,Chew_POw,Chew_PStr,Bite_BOw,Bite_BStr,Bite_FDOw,Bite_FDStr,Bite_POw,Bite_PStr,OrientationToDoor_BOw,OrientationToDoor_BStr,OrientationToDoor_FDOw,OrientationToDoor_FDStr,OrientationToDoor_POw,OrientationToDoor_PStr,SocialInvestigation_FDOw,SocialInvestigation_FDStr,AttentionToOwner_BOW,AttentionToOwner_BSTR,AttentionToOwner_FDOW,AttentionToOwner_FDSTR,AttentionToOwner_POW,AttentionToOwner_PSTR,AttentionToStranger_BOW,AttentionToStranger_BSTR,AttentionToStranger_FDOW,AttentionToStranger_FDSTR,AttentionToStranger_POW,AttentionToStranger_PSTR
1,F,6,3,0,P-B-FD,0,0,0,0,0,0,0,0,0,6.09,0,1.95,0,0,3.25,0,11.43,0,0,0,0,0,0,0,31.05,0,88.81,54.49,75.36,14.01,16.25,1.28,0,8.33,4.29,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43,0,0,0,4.56,0,0.96,0,0,0,4.17,4.29,1.63,37.18,63.58,3.97,9.62,0,44.63
2,F,2,2,0,B-FD-P,3,4,1,2,2,5,0,0,0,0,0,4.18,10.04,0,0,0,0.73,0,0,0,0,0,0,0,32.97,5.41,0,19.09,76,36.01,1.08,0.96,2.82,26.21,2.18,0,2.15,0,0,4.53,6.91,0,0,0,59.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.76,3.24,22.58,17.2,8.8,5.83,4.36,13.83,1.43,13.06,0,21.36,6.18,5.79
3,M,6,1,1,FD-P-B,11,5,1,0,6,3,0,0,2.29,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,8.49,10.78,19.34,14.38,4.87,0,1.48,17.32,15.33,7.19,8.24,0,0.37,0,0,2.29,6.37,0,0,0,0,1.31,0,0,0,0,0,0,0,0,2.95,0,0,0,4.49,3.92,9.85,23.81,17.71,53.92,4.74,56.54,13.11,27.62,44.65,0.33,29.56,1.63,38.58
4,M,2,2,1,B-FD-P,2,1,0,1,0,0,0,0,2.6,0,0.64,0,0,3.08,0,0,0.32,0,2.97,0,7.79,0,10.58,0,35.31,59.62,0,0,24.04,64.34,0,1.54,16.88,88.43,0,0.78,0,0,8.77,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.41,0,0,0,3.53,0,3.9,2.24,12.21,6.54,55.84,0,19.55,3.1,5.61,15.77,4.55,2.61,9.94,24.03
5,F,3,2,1,B-FD-P,3,2,1,1,1,2,3.96,2.49,9.15,0,0,0,0,0,0,6.2,0,0,1.65,7.47,14.71,16.42,0,10.27,51.16,19.93,3.27,6.2,42.86,6.46,1.98,1.42,2.29,9.85,0,1.14,0,0,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.21,0,5.23,4.01,9.74,1.9,12.09,0,4.62,16.01,31.7,7.66,14.29,6.08,1.32,33.45,18.95,43.43,11.69,69.58
6,F,5,2,1,B-FD-P,0,2,6,0,6,2,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0,0,0,0,0,78.18,80.97,5.88,0,7.36,22.39,0,0,3.92,0,4.01,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,6.02,3.91,3.73,64.71,1.88,72.24,11.58,0.98,0.37,1.96,70.3,0,51.74
7,F,5,2,0,B-FD-P,3,2,1,0,1,2,0,0,0,0,0,0,0.36,0,0,6.75,0,9.32,0,0,0,0,0,0,53.76,24.13,9.45,35.37,0,7.72,0,0,29.09,4.82,16.37,1.29,1.79,0,16.73,3.54,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,7.72,4.66,39.68,26.55,3.54,44.13,3.86,3.23,10.79,2.91,21.54,4.63,20.26
8,M,4,3,1,P-B-FD,0,2,1,2,2,9,0,0,0,0,0.65,3.28,0,2.15,0,0,5.83,14.96,0,0,0,0,0,0,3.59,73.84,0,17.95,56.96,30.29,0,2.87,10.29,41.76,4.21,8.76,0,0,8.04,0,12.62,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,64.31,1.1,4.21,1.46,60.46,6.45,0,16.85,4.21,13.87
9,F,6.5,3,1,P-B-FD,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.07,46.01,1.63,7.86,68.75,33.57,1.97,0.72,29.41,21.07,3.95,1.44,0,0,15.69,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,3.99,45.1,0,21.71,9.75,30.16,43.12,0.65,57.14,3.62,53.79
10,F,11.5,2,0,B-FD-P,14,2,2,8,2,0,0,0,0,0,0,0,1.11,0,0,2.54,0,0,0,0,0.35,0,0,0,12.55,0,9.57,23.81,0,11.5,0,0,12.06,0,10.25,0,0,0,7.45,0,24.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93,0.63,35.42,99.68,57.8,1.59,28.98,0,0,0.32,0,41.9,0,0
